Date	Temp	Press	Counts	PCC	Err PCC	PTCC	Err PTCC
17/01/2026 08:00:00	19,0	869,39	13933	14062,15	119,37	14151,48	118,42
17/01/2026 09:00:00	19,3	869,71	14063	14201,14	119,38	14298,20	118,43
17/01/2026 10:00:00	19,3	869,93	14045	14188,30	119,38	14285,28	118,43
17/01/2026 11:00:00	19,5	869,65	13772	13905,85	119,35	14005,38	118,41
17/01/2026 12:00:00	19,7	869,24	13833	13957,64	119,36	14062,04	118,41
17/01/2026 13:00:00	19,9	869,18	13854	13977,40	119,36	14086,44	118,41
17/01/2026 14:00:00	20,0	869,17	14009	14133,53	119,37	14246,08	118,42
17/01/2026 15:00:00	20,1	869,28	13930	14056,48	119,37	14170,68	118,42
17/01/2026 16:00:00	20,0	869,38	13847	13975,12	119,36	14086,40	118,41
17/01/2026 17:00:00	19,8	869,55	13964	14097,30	119,37	14205,01	118,42
17/01/2026 18:00:00	19,6	870,03	13899	14043,22	119,37	14145,99	118,42
17/01/2026 19:00:00	19,7	870,19	13891	14038,98	119,37	14143,98	118,42
17/01/2026 20:00:00	19,6	870,21	13805	13952,54	119,36	14054,65	118,41
17/01/2026 21:00:00	19,7	870,45	13779	13931,98	119,36	14036,19	118,41
17/01/2026 22:00:00	19,8	870,45	13907	14061,40	119,37	14168,84	118,42
17/01/2026 23:00:00	19,7	870,66	13736	13893,50	119,35	13997,42	118,41
18/01/2026 00:00:00	19,6	870,68	13796	13952,12	119,34	14054,22	118,42
18/01/2026 01:00:00	19,5	870,52	13902	14055,53	119,35	14156,13	118,43
18/01/2026 02:00:00	19,3	870,46	13798	13948,97	119,34	14044,31	118,42
18/01/2026 03:00:00	19,3	870,22	13603	13746,28	119,32	13840,24	118,41
18/01/2026 04:00:00	19,4	869,96	14023	14164,50	119,36	14263,59	118,44
18/01/2026 05:00:00	19,4	869,69	13905	14038,92	119,35	14137,14	118,43
18/01/2026 06:00:00	19,4	869,92	13983	14123,14	119,35	14221,95	118,44
18/01/2026 07:00:00	19,3	869,95	13977	14117,79	119,35	14214,29	118,44
18/01/2026 08:00:00	19,3	870,31	13957	14106,14	119,35	14202,56	118,44
18/01/2026 09:00:00	19,3	870,73	13790	13947,22	119,34	14042,56	118,42
18/01/2026 10:00:00	19,2	871,02	13889	14054,22	119,35	14148,02	118,43
18/01/2026 11:00:00	19,2	870,95	13869	14032,32	119,35	14125,98	118,43
18/01/2026 12:00:00	19,2	870,47	13992	14145,33	119,35	14239,74	118,44
18/01/2026 13:00:00	19,3	870,09	13795	13937,25	119,34	14032,51	118,42
18/01/2026 14:00:00	19,3	869,97	14032	14173,83	119,36	14270,71	118,44
18/01/2026 15:00:00	19,4	870,02	13882	14023,49	119,34	14121,60	118,43
18/01/2026 16:00:00	19,2	869,91	13991	14138,82	119,18	14241,33	118,49
18/01/2026 17:00:00	18,9	870,31	13731	13885,94	119,16	13979,91	118,47
18/01/2026 18:00:00	18,6	870,25	13849	14003,78	119,17	14091,78	118,48
18/01/2026 19:00:00	18,5	870,54	14045	14209,30	119,19	14296,31	118,49
18/01/2026 20:00:00	18,6	870,43	13988	14148,86	119,18	14237,78	118,49
18/01/2026 21:00:00	18,6	870,62	14004	14169,83	119,18	14258,88	118,49
18/01/2026 22:00:00	18,4	870,64	14038	14204,74	119,19	14289,44	118,49
18/01/2026 23:00:00	18,2	870,61	13954	14118,99	119,18	14198,63	118,49
19/01/2026 00:00:00	18,2	870,26	13902	14057,62	119,17	14136,92	118,48
19/01/2026 01:00:00	18,3	870,28	13871	14026,78	119,17	14108,15	118,48
19/01/2026 02:00:00	18,1	870,25	13965	14121,08	119,18	14198,46	118,49
19/01/2026 03:00:00	17,8	869,95	13818	13964,98	119,16	14034,78	118,47
19/01/2026 04:00:00	17,7	869,92	14105	14254,27	119,19	14323,22	118,49
19/01/2026 05:00:00	17,5	869,75	13873	14015,58	119,17	14078,87	118,48
19/01/2026 06:00:00	17,3	869,92	13886	14032,96	119,17	14091,82	118,48
19/01/2026 07:00:00	17,1	870,19	13990	14144,85	119,18	14199,64	118,49
19/01/2026 08:00:00	17,0	870,43	14018	14179,21	119,18	14231,85	118,49
19/01/2026 09:00:00	17,1	870,74	14044	14213,34	119,19	14268,39	118,49
19/01/2026 10:00:00	17,4	870,85	13941	14111,86	119,18	14173,32	118,48
19/01/2026 11:00:00	17,9	870,56	13667	13827,37	119,15	13898,70	118,46
19/01/2026 12:00:00	18,3	870,27	13887	14042,71	119,17	14124,18	118,48
19/01/2026 13:00:00	18,7	870,19	14086	14241,91	119,19	14333,70	118,50
19/01/2026 14:00:00	18,9	870,08	14032	14184,54	119,18	14280,53	118,49
19/01/2026 15:00:00	19,1	870,28	13903	14059,13	119,17	14158,80	118,48
19/01/2026 16:00:00	18,5	870,41	14002	14162,52	119,18	14249,24	118,49
19/01/2026 17:00:00	17,5	870,51	13938	14100,29	119,18	14163,97	118,48
19/01/2026 18:00:00	17,0	870,66	13974	14140,48	119,18	14192,99	118,48
19/01/2026 19:00:00	16,7	870,72	13852	14018,53	119,17	14063,83	118,48
19/01/2026 20:00:00	16,8	870,69	13890	14056,23	119,17	14103,91	118,48
19/01/2026 21:00:00	15,9	870,56	13923	14086,37	119,17	14113,82	118,48
19/01/2026 22:00:00	15,6	870,98	13832	14004,76	119,17	14025,32	118,47
