Date;Counts
2026-01-17 08:00:00;91,601
2026-01-17 08:01:00;91,659
2026-01-17 08:02:00;93,146
2026-01-17 08:03:00;93,522
2026-01-17 08:04:00;90,798
2026-01-17 08:05:00;96,672
2026-01-17 08:06:00;92,066
2026-01-17 08:07:00;91,346
2026-01-17 08:08:00;90,938
2026-01-17 08:09:00;93,732
2026-01-17 08:10:00;90,542
2026-01-17 08:11:00;93,901
2026-01-17 08:12:00;90,056
2026-01-17 08:13:00;92,136
2026-01-17 08:14:00;93,863
2026-01-17 08:15:00;91,397
2026-01-17 08:16:00;92,335
2026-01-17 08:17:00;97,433
2026-01-17 08:18:00;90,453
2026-01-17 08:19:00;91,908
2026-01-17 08:20:00;89,324
2026-01-17 08:21:00;92,508
2026-01-17 08:22:00;91,366
2026-01-17 08:23:00;86,894
2026-01-17 08:24:00;94,623
2026-01-17 08:25:00;96,072
2026-01-17 08:26:00;91,935
2026-01-17 08:27:00;87,915
2026-01-17 08:28:00;92,006
2026-01-17 08:29:00;98,008
2026-01-17 08:30:00;93,380
2026-01-17 08:31:00;89,173
2026-01-17 08:32:00;92,371
2026-01-17 08:33:00;94,279
2026-01-17 08:34:00;95,059
2026-01-17 08:35:00;92,644
2026-01-17 08:36:00;94,865
2026-01-17 08:37:00;94,157
2026-01-17 08:38:00;96,507
2026-01-17 08:39:00;92,729
2026-01-17 08:40:00;92,230
2026-01-17 08:41:00;90,724
2026-01-17 08:42:00;92,749
2026-01-17 08:43:00;93,285
2026-01-17 08:44:00;93,783
2026-01-17 08:45:00;93,720
2026-01-17 08:46:00;94,411
2026-01-17 08:47:00;89,021
2026-01-17 08:48:00;92,527
2026-01-17 08:49:00;91,091
2026-01-17 08:50:00;91,929
2026-01-17 08:51:00;92,088
2026-01-17 08:52:00;93,819
2026-01-17 08:53:00;89,194
2026-01-17 08:54:00;89,239
2026-01-17 08:55:00;90,504
2026-01-17 08:56:00;92,228
2026-01-17 08:57:00;94,138
2026-01-17 08:58:00;92,777
2026-01-17 08:59:00;94,298
2026-01-17 09:00:00;95,992
2026-01-17 09:01:00;94,950
2026-01-17 09:02:00;92,828
2026-01-17 09:03:00;93,690
2026-01-17 09:04:00;92,112
2026-01-17 09:05:00;94,840
2026-01-17 09:06:00;90,433
2026-01-17 09:07:00;92,405
2026-01-17 09:08:00;92,889
2026-01-17 09:09:00;91,970
2026-01-17 09:10:00;91,952
2026-01-17 09:11:00;93,076
2026-01-17 09:12:00;92,489
2026-01-17 09:13:00;94,207
2026-01-17 09:14:00;93,633
2026-01-17 09:15:00;91,257
2026-01-17 09:16:00;91,985
2026-01-17 09:17:00;94,497
2026-01-17 09:18:00;92,542
2026-01-17 09:19:00;90,019
2026-01-17 09:20:00;92,651
